K_E,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
0.642842,3.3000000000000003,0.303030303030303,6.337476543130891e-13,5.474905652014585e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.4000000000000004,0.2941176470588235,6.331083785224945e-13,5.472984699850708e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.5000000000000004,0.2857142857142857,6.352162173070929e-13,5.499104003345707e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.6,0.2777777777777778,6.396622975661537e-13,5.549754169676942e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.7,0.2702702702702703,6.459222901458587e-13,5.620443724253079e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.8,0.2631578947368421,6.534314918829949e-13,5.706274463029631e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,3.9,0.2564102564102564,6.61619863755156e-13,5.80219739174554e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.0,0.25,6.699410898461502e-13,5.903233687469507e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.1,0.2439024390243902,6.778977608570164e-13,6.004682492888839e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.2,0.238095238095238,6.850627649152412e-13,6.102315119761526e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.3,0.2325581395348837,6.910955856190582e-13,6.192541930765459e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.4,0.2272727272727273,6.957522201340734e-13,6.272536067825733e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.5,0.2222222222222222,6.988865124896532e-13,6.340290489983113e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.6,0.2173913043478261,7.004461203981518e-13,6.394625898914468e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.7,0.2127659574468085,7.004603448463816e-13,6.435125667700222e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.8,0.2083333333333333,6.990246112622288e-13,6.462030841084688e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,4.9,0.2040816326530611,6.962827718538179e-13,6.476105414804231e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,5.0,0.2,6.92619579557557e-13,6.480584627690057e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,5.1,0.196078431372549,6.877508894529252e-13,6.472170128161921e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,5.2,0.1923076923076923,6.821401794383897e-13,6.45501636130002e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
0.642842,5.3,0.1886792452830188,6.759702968975028e-13,6.430633614095291e-13,0.25,50000000000.0,2700,3779.6002140144105,2182.153200990387,2502.294445801098
